fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
34,2018-12,46,-0.020511882559838365,-0.0027752081406105457,20.0,-0.047220559572891715,-0.04872055957289172,0.021206691539898403,0.5,0.02830712303422757,30.0,-0.036433918846650024,-0.03808391884665002,-0.02012774558603375,0.55,-0.004008633980881899,40.0,-0.014267011783265601,-0.0162170117832656,0.018217664572949127,0.65,0.051002158495220475,20.0,-0.047512413253834304,-0.049012413253834305,0.014404028118508924,0.5
35,2019-01,46,0.06316405460995868,0.20333024976873262,100.0,0.09809268905256965,0.09659268905256965,0.04155057152786861,0.5,0.3478877582485353,100.0,0.11404564347346997,0.11194564347346997,0.07602921351660752,0.7,0.2841196423065063,100.0,0.11306660884396913,0.11111660884396914,0.06622760233626818,0.6499999999999999,0.25032377428307123,100.0,0.09558538529519126,0.09393538529519126,0.018635297294492703,0.55
36,2019-02,46,0.0885019672340586,-0.09737897008942337,100.0,0.09713224481243934,0.09503224481243934,-0.007887612223985666,0.7,0.01572617946345976,100.0,0.07755761180306957,0.07575761180306957,0.0013492819379062465,0.6,0.13314831945729264,100.0,0.11568868524158063,0.11388868524158063,0.030406176704324217,0.6,-0.0014184397163120566,100.0,0.09713224481243934,0.09518224481243935,0.010523229074276302,0.6499999999999999
37,2019-03,46,-0.00919286707045328,0.06802343509096516,40.0,-0.0011284166784321134,-0.003378416678432114,0.029571056219191937,0.75,0.13462843046561826,30.0,0.00524080345571591,0.00344080345571591,0.04391224309354846,0.6,0.21615787850755472,50.0,0.02529664842810455,0.023046648428104548,0.06408185295026733,0.75,0.11131668208448967,40.0,0.0017678591368258986,-0.0004821408631741017,0.03246733203444995,0.75
38,2019-04,46,0.017745677792411162,0.23219241443108235,70.0,0.0576161213049606,0.055066121304960594,0.02623963644715227,0.8500000000000001,0.28054270736971937,70.0,0.06353508959043186,0.06143508959043186,0.08628077146593445,0.7,0.29707061362935555,60.0,0.04096741148181371,0.03886741148181371,0.05018051190029287,0.7,0.25550416281221094,70.0,0.05761612130496059,0.055066121304960594,0.04744523322441242,0.8500000000000001
39,2019-05,46,-0.027603759912222477,-0.14190564292321922,20.0,-0.05819998360425741,-0.06014998360425741,-0.022613573248834604,0.65,-0.15386987357385137,20.0,-0.04681893381181278,-0.04831893381181278,-0.02561714499010858,0.5,-0.06777674992291088,40.0,-0.019445492937882683,-0.020645492937882683,-0.009018495172868523,0.4,-0.11292013567684242,20.0,-0.05667814300090428,-0.058328143000904276,-0.04046347495780388,0.55
40,2019-06,46,-0.06157960713687418,-0.06407647240209681,30.0,-0.06000237720322408,-0.06195237720322408,-0.010314970501188236,0.6499999999999999,-0.13117483811285846,20.0,-0.08491508678895711,-0.0868650867889571,-0.029513512978151316,0.6499999999999999,-0.0748072772124576,10.0,-0.08864469382304106,-0.09089469382304106,-0.007511770637569151,0.75,-0.06580326857847671,20.0,-0.08491508678895711,-0.0867150867889571,-0.009073830005190492,0.6
41,2019-07,46,-0.011131901841812243,0.0032685784767190872,40.0,0.006044847322409777,0.0036448473224097765,-0.012331671401406445,0.8,-0.1072463768115942,30.0,-0.03145325293393243,-0.03340325293393243,-0.018754574423071872,0.6499999999999999,-0.06395312981806969,30.0,-0.04686226829741223,-0.04881226829741223,-0.03690528175786563,0.6499999999999999,-0.0030218933086648163,30.0,-0.01654701195773601,-0.01879701195773601,-0.026257393454793033,0.75
42,2019-08,47,0.06469276928177602,0.10962072155411658,70.0,0.07033434955561167,0.06808434955561167,0.015302350173824218,0.75,0.2682701202590194,80.0,0.10237549574703253,0.10027549574703253,0.070236619649729,0.7,0.23623959296947272,90.0,0.10535073285900906,0.10310073285900906,0.07353718988438962,0.75,0.18998612395929698,80.0,0.07778226064793696,0.07553226064793696,0.03295213217302281,0.75
43,2019-09,48,0.03158661489390182,-0.026378636561007383,70.0,0.0181278168192776,0.0157278168192776,-0.02033229468315197,0.8,0.13601823708206687,80.0,0.028289286618515274,0.025739286618515274,0.029739072990409288,0.85,0.14611376465479808,80.0,0.027697543948005304,0.025147543948005304,0.036412757373683546,0.85,0.03148067737733391,70.0,0.02049044274942216,0.01809044274942216,0.01880228849768314,0.8
44,2019-10,48,-0.003131533924763128,0.16771602257924448,60.0,0.03036711982327501,0.02796711982327501,0.0334213466328488,0.8,-0.021276595744680854,70.0,0.02659077944330802,0.02449077944330802,0.031403042404928444,0.7,0.06491532783326097,70.0,0.04601882933972263,0.04376882933972263,0.03983064117525689,0.75,0.09498480243161093,50.0,0.018553787950026372,0.01630378795002637,0.01103628720380603,0.75
45,2019-11,48,0.024467716648444094,0.09531046461137647,60.0,0.0301121200968548,0.0275621200968548,0.019067843492968122,0.8500000000000001,-0.06665219279201041,60.0,0.025041125390510555,0.022641125390510556,-0.013847444971469215,0.8,-0.009444203213200175,60.0,0.022357247087147435,0.020107247087147437,-0.008618054529158113,0.75,0.042227529309596175,50.0,0.03077776134412777,0.02822776134412777,0.0019838610383984476,0.8500000000000001
46,2019-12,48,0.01365849363359084,0.22492401215805471,60.0,0.0277039383422224,0.0254539383422224,0.028639648122808628,0.75,0.4165219279201042,70.0,0.05566548370961022,0.05356548370961022,0.10380705720951733,0.7,0.385909683022145,80.0,0.07561237703719235,0.07381237703719236,0.12435395053709947,0.6,0.37668258792878856,60.0,0.03673637730444991,0.03463637730444991,0.05724605062138256,0.7
47,2020-01,48,-0.16252939863756308,0.06676074685193227,0.0,-0.1539772691456514,-0.15667726914565142,0.0029743575200379957,0.9,0.27529309596178897,0.0,-0.15703973831903406,-0.15973973831903407,0.01871796102810236,0.9,0.2484802431610942,0.0,-0.15071676630887715,-0.15326676630887714,0.026344927981248212,0.8500000000000001,0.18627876682587927,0.0,-0.17219549148505536,-0.17489549148505537,-0.00633486798830829,0.9
48,2020-02,37,-0.08041078776362878,-0.1647700331910858,10.0,-0.10982829610076346,-0.11267829610076346,-0.033480027519087185,0.95,-0.22688477951635844,20.0,-0.0764752259771577,-0.0788752259771577,-0.01794671924137145,0.8,-0.13489805595068752,30.0,-0.07354101010397063,-0.07594101010397063,-0.050692423912598955,0.8,-0.17259364627785678,20.0,-0.07919622423242337,-0.08189622423242336,-0.024440255384821745,0.9
49,2020-03,46,0.07903240386576653,-0.2254085723095899,40.0,0.011574339180503088,0.009324339180503087,-0.1311677656610228,0.75,-0.16299722479185938,40.0,0.010745671412726933,0.008045671412726933,-0.06359815859428922,0.9,-0.025100215849522045,60.0,0.04518358174702732,0.04248358174702732,0.01586620138549423,0.9,-0.17792167745914275,40.0,0.01074567141272693,0.00819567141272693,-0.05899724795633802,0.8500000000000001
50,2020-04,48,0.02624483667229857,-0.11571862787668259,70.0,0.02770170703043756,0.02500170703043756,-0.04339884321015413,0.9,-0.10855405992184107,70.0,0.01238394607087336,0.00983394607087336,-0.007444966815991131,0.8500000000000001,-0.10290924880590535,60.0,0.007078820045304281,0.0045288200453042805,-0.02150241640051386,0.8500000000000001,-0.10562310030395138,70.0,0.028140943445827925,0.025590943445827925,-0.031206368455681224,0.8500000000000001
51,2020-05,48,0.08868301809929331,0.379070777247069,100.0,0.12520625520127923,0.12280625520127923,0.08514905630418337,0.8,0.3024316109422492,90.0,0.09480021818708034,0.09255021818708034,0.06263063328857146,0.75,0.24413808076422058,90.0,0.09875583823206753,0.09620583823206753,0.059956207428502176,0.8500000000000001,0.34487624837168906,100.0,0.13260497817602512,0.13035497817602512,0.09475746510239266,0.75
52,2020-06,48,0.11312846695387242,0.08195831524099,90.0,0.11248430549472022,0.11008430549472022,0.01121158489738712,0.8,0.052540165002171076,90.0,0.10472637422363014,0.10232637422363014,-0.00811194780999519,0.8,0.08434650455927051,80.0,0.09034407971201881,0.08794407971201881,-0.015647157370929574,0.8,0.06013894919669995,90.0,0.09630813240310457,0.09405813240310457,-0.010412584037911302,0.75
53,2020-07,47,0.04208917643195067,0.1417668825161887,60.0,0.04734622708092574,0.04539622708092574,0.04075510327445507,0.6499999999999999,0.016998149861239594,50.0,0.03974984776398062,0.03764984776398062,-0.021261557923928934,0.7,0.008903792784458835,70.0,0.07662828528715612,0.07467828528715613,0.03061803044220677,0.6499999999999999,0.079209065679926,60.0,0.06169547855376887,0.05974547855376887,0.023452168231945993,0.6499999999999999
54,2020-08,48,0.021036632980354977,0.1326530612244898,40.0,0.004521706627725492,0.0019717066277254915,0.01913860814324598,0.8500000000000001,0.019322622666087714,30.0,-0.018794900811019432,-0.021494900811019433,-0.017460597201355472,0.9,0.014763352149370385,40.0,-0.016626939690135192,-0.019326939690135193,-0.0033773299669270958,0.9,0.0869518019973947,30.0,-0.02314909792083463,-0.025849097920834632,-0.007249193055952695,0.9
55,2020-09,48,0.09982544977810738,0.07283977420755536,80.0,0.09186896668274647,0.08961896668274646,-0.01784586602252028,0.75,0.10779418150238818,80.0,0.07968399563261754,0.07728399563261754,0.026528535070908722,0.8,0.12679114198871036,90.0,0.12136168859262846,0.11896168859262846,0.058741847927401905,0.8,0.1247286148501954,90.0,0.1108302043837712,0.1084302043837712,0.02305043529183408,0.8
56,2020-10,48,0.16130628800776356,-0.20386452453321754,100.0,0.1856244814418723,0.1829244814418723,-0.041742487332831674,0.9,-0.3115501519756839,90.0,0.12304122035540047,0.12079122035540046,-0.10312578979736697,0.75,-0.26476335214937036,90.0,0.13474834277327866,0.13249834277327865,-0.09090724362721297,0.75,-0.28560573165436387,100.0,0.16261165570790573,0.15991165570790572,-0.07834881994065385,0.9
57,2020-11,48,0.13635345320109798,0.05167173252279635,100.0,0.13435974514533552,0.13150974514533553,-0.025242627929969758,0.95,-0.18291359096830223,100.0,0.09339081235495299,0.090690812354953,-0.051608157607297145,0.9,-0.07587928788536691,100.0,0.12025615560959468,0.11800615560959468,-0.031321913479504776,0.75,-0.06296135475466783,100.0,0.1393385749670727,0.1367885749670727,-0.015432145549967635,0.8500000000000001
58,2020-12,48,0.08289934599043101,-0.1585974815458098,60.0,0.03497700027716945,0.03227700027716945,-0.047980662558547486,0.9,0.04537559704732957,70.0,0.08466208230932415,0.08196208230932416,-0.012448450709389672,0.9,0.11669561441597916,70.0,0.06993163717361198,0.06753163717361198,0.00658232577461744,0.8,-0.08673469387755102,60.0,0.037300087595456784,0.03460008759545678,-0.04581991821773124,0.9
59,2021-01,48,0.10588456513481188,-0.06806339557099436,80.0,0.10728181970617819,0.10458181970617819,-0.0562616514075884,0.9,-0.13460703430308293,70.0,0.07169547720170572,0.06899547720170572,-0.06605816278234149,0.9,-0.21189752496743378,60.0,0.04796228631755306,0.04541228631755306,-0.14434805130953665,0.8500000000000001,-0.14285714285714285,80.0,0.12224897250514852,0.11954897250514852,-0.015504667478898684,0.9
60,2021-02,48,0.026544684760654552,0.2302431610942249,60.0,0.02038760253830676,0.01843760253830676,0.01334487530748165,0.6499999999999999,0.13124185844550587,60.0,0.030880527740960406,0.028930527740960405,0.028683293157400435,0.6499999999999999,0.10877116804168475,40.0,-0.009630320317585456,-0.011880320317585456,-0.021929710855700908,0.75,0.22959183673469388,60.0,0.023430719899300033,0.021480719899300033,0.045764165763765324,0.6499999999999999
61,2021-03,47,0.05389105644381507,0.2796022201665125,80.0,0.0822344569232154,0.0799844569232154,0.0509213026198713,0.75,0.1963459759481961,90.0,0.07150229605639877,0.06925229605639877,0.0642835128537995,0.75,0.23577705827937095,90.0,0.05789878124777411,0.05579878124777411,0.03820187397156852,0.7,0.33776595744680854,80.0,0.05330962448834349,0.05120962448834349,0.03690595804922375,0.7
62,2021-04,48,0.09320224705704565,-0.1276595744680851,100.0,0.06963195226621756,0.06708195226621756,-0.04345238649306933,0.85,-0.11343899261832392,100.0,0.08401119582346947,0.08161119582346947,-0.021616905635440165,0.8,-0.15371254884932695,100.0,0.08302315404720997,0.08047315404720998,-0.03141374156157489,0.85,-0.12570560138949197,100.0,0.06536356127703587,0.06326356127703586,-0.03966454018187378,0.7
