month,regime,position_scale,avg_corr,nifty_vol,n_long,n_short,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2020-02,normal,1.0,0.2238,0.1249,10,10,"M&M.NS, HINDALCO.NS, EICHERMOT.NS, ASIANPAINT.NS, SUNPHARMA.NS, BRITANNIA.NS, INFY.NS, HINDUNILVR.NS, DIVISLAB.NS, GRASIM.NS","BAJAJ-AUTO.NS, NTPC.NS, HEROMOTOCO.NS, KOTAKBANK.NS, SBILIFE.NS, BPCL.NS, COALINDIA.NS, CIPLA.NS, ITC.NS, MARUTI.NS",-0.04955042890528712,-0.05180042890528712,0.03265890408516593,0.75,-0.08041078776362878
2020-03,normal,0.83,0.2979,0.2052,8,8,"AXISBANK.NS, BRITANNIA.NS, KOTAKBANK.NS, HDFCBANK.NS, DIVISLAB.NS, ICICIBANK.NS, BAJFINANCE.NS, TITAN.NS","ITC.NS, HINDALCO.NS, TATASTEEL.NS, LT.NS, COALINDIA.NS, BPCL.NS, GRASIM.NS, ONGC.NS",0.010442168906071674,0.006799500192039489,-0.01859656850205959,0.75,0.07903240386576653
2020-04,crisis,0.183,0.6739,0.8078,1,1,BAJAJFINSV.NS,ONGC.NS,-0.0001469285022059,-0.0005758879159036797,-0.010744391304622083,1.0,0.02624483667229857
2020-05,elevated,0.6,0.4301,0.4976,6,6,"ICICIBANK.NS, APOLLOHOSP.NS, BAJAJFINSV.NS, KOTAKBANK.NS, SHREECEM.NS, INDUSINDBK.NS","ULTRACEMCO.NS, HEROMOTOCO.NS, NESTLEIND.NS, CIPLA.NS, BPCL.NS, ITC.NS",0.13296038828534953,0.07797623297120972,0.05327607392357085,1.0,0.08868301809929331
2020-06,elevated,0.6,0.386,0.3424,6,6,"HINDUNILVR.NS, ADANIPORTS.NS, BAJAJFINSV.NS, SBIN.NS, HINDALCO.NS, AXISBANK.NS","COALINDIA.NS, LT.NS, ONGC.NS, CIPLA.NS, MARUTI.NS, HCLTECH.NS",0.08550997977721529,0.04980598786632917,-0.007464344788637722,0.8333333333333334,0.11312846695387242
2020-07,normal,0.894,0.2454,0.1844,8,8,"INDUSINDBK.NS, ICICIBANK.NS, BAJFINANCE.NS, KOTAKBANK.NS, ASIANPAINT.NS, HDFCBANK.NS, NTPC.NS, ADANIPORTS.NS","RELIANCE.NS, INFY.NS, HINDUNILVR.NS, EICHERMOT.NS, UPL.NS, GRASIM.NS, ULTRACEMCO.NS, HEROMOTOCO.NS",0.08540516548341723,0.07400546794217501,0.027784394958609474,0.875,0.04208917643195067
2020-08,normal,0.987,0.2132,0.1543,9,9,"APOLLOHOSP.NS, NESTLEIND.NS, SBILIFE.NS, SHREECEM.NS, TITAN.NS, ADANIPORTS.NS, SUNPHARMA.NS, BAJFINANCE.NS, HINDUNILVR.NS","SBIN.NS, INFY.NS, BPCL.NS, GRASIM.NS, BRITANNIA.NS, AXISBANK.NS, HEROMOTOCO.NS, INDUSINDBK.NS, ONGC.NS",0.027505523781109657,0.02435145197195523,0.009504430221687996,0.9444444444444444,0.021036632980354977
2020-09,normal,1.0,0.2122,0.139,10,10,"BHARTIARTL.NS, M&M.NS, NESTLEIND.NS, ADANIPORTS.NS, SBILIFE.NS, APOLLOHOSP.NS, HINDUNILVR.NS, ASIANPAINT.NS, HINDALCO.NS, BAJFINANCE.NS","UPL.NS, GRASIM.NS, DRREDDY.NS, AXISBANK.NS, CIPLA.NS, ITC.NS, HCLTECH.NS, COALINDIA.NS, TECHM.NS, TATASTEEL.NS",0.09788652261203609,0.09548652261203609,0.021010229617097795,0.8,0.09982544977810738
2020-10,normal,0.86,0.405,0.1955,8,8,"DIVISLAB.NS, TITAN.NS, SHREECEM.NS, DRREDDY.NS, WIPRO.NS, TATACONSUM.NS, BHARTIARTL.NS, NESTLEIND.NS","AXISBANK.NS, HINDALCO.NS, POWERGRID.NS, ONGC.NS, LT.NS, BPCL.NS, NTPC.NS, COALINDIA.NS",0.12014987260831955,0.10074889044315481,-0.09226194194545369,1.0,0.16130628800776356
2020-11,normal,1.0,0.1284,0.1484,10,10,"SHREECEM.NS, BAJFINANCE.NS, INDUSINDBK.NS, TATACONSUM.NS, BHARTIARTL.NS, KOTAKBANK.NS, ADANIPORTS.NS, SUNPHARMA.NS, APOLLOHOSP.NS, RELIANCE.NS","INFY.NS, M&M.NS, BAJAJ-AUTO.NS, JSWSTEEL.NS, LT.NS, POWERGRID.NS, WIPRO.NS, ONGC.NS, HEROMOTOCO.NS, COALINDIA.NS",0.11710966970689411,0.11485966970689411,-0.054170766813098806,0.75,0.13635345320109798
2020-12,normal,1.0,0.2151,0.1394,10,10,"INDUSINDBK.NS, UPL.NS, KOTAKBANK.NS, HINDUNILVR.NS, RELIANCE.NS, LT.NS, BAJAJFINSV.NS, HEROMOTOCO.NS, SHREECEM.NS, TECHM.NS","GRASIM.NS, AXISBANK.NS, HCLTECH.NS, ASIANPAINT.NS, ITC.NS, CIPLA.NS, DRREDDY.NS, POWERGRID.NS, INFY.NS, APOLLOHOSP.NS",0.08879292992476066,0.08609292992476067,0.01747220276552512,0.9,0.08289934599043101
2021-01,normal,1.0,0.3532,0.1454,10,10,"BAJAJFINSV.NS, BAJFINANCE.NS, RELIANCE.NS, ASIANPAINT.NS, TITAN.NS, SHREECEM.NS, TECHM.NS, M&M.NS, HINDALCO.NS, DIVISLAB.NS","EICHERMOT.NS, HDFCLIFE.NS, LT.NS, NTPC.NS, NESTLEIND.NS, BPCL.NS, COALINDIA.NS, POWERGRID.NS, UPL.NS, ITC.NS",0.11127684903654811,0.1091768490365481,-0.0156718283260725,0.7,0.10588456513481188
2021-02,normal,0.961,0.3046,0.1626,9,9,"BAJAJFINSV.NS, TECHM.NS, ASIANPAINT.NS, HINDALCO.NS, TITAN.NS, ICICIBANK.NS, WIPRO.NS, INFY.NS, M&M.NS","JSWSTEEL.NS, BPCL.NS, NESTLEIND.NS, UPL.NS, DIVISLAB.NS, ITC.NS, COALINDIA.NS, CIPLA.NS, BRITANNIA.NS",0.05060389546232893,0.046388010205964766,-0.02164167153833514,0.7777777777777778,0.026544684760654552
2021-03,elevated,0.628,0.3878,0.2708,6,6,"RELIANCE.NS, BAJFINANCE.NS, EICHERMOT.NS, KOTAKBANK.NS, DIVISLAB.NS, BHARTIARTL.NS","BPCL.NS, HDFCLIFE.NS, SBIN.NS, COALINDIA.NS, BRITANNIA.NS, ITC.NS",0.038917681803154296,0.023184304172380897,0.008503644765719156,0.6666666666666667,0.05389105644381507
